Original order,Sample,population,nonsense_hom,Silent_hom,Missense_hom,silent_het,nonsense_het,missense_het,TOT_MIS_NON_SIL_hom,TOT_MIS_NON_SIL_het,(HIGH|NONSENSE|_hom,(HIGH|NONSENSE|_het,(HIGH|MISSENSE|_hom,(HIGH|MISSENSE|_het,Total_HIGH_hom,Total_HIGH_het,(MODERATE|MISSENSE|_hom,(MODERATE|MISSENSE|_het,High_tot_hom,High_tot_het,Mod_tot_hom,Mod_tot_het
49,SL_Ours_annotated_classic_U09_derived_classic.txt:,Snow Leopard,3,614,418,2094,91,2582,1035,4767,3,91,0,8,3,99,418,2573,0.002898551,0.020767778,0.403864734,0.539752465
53,SL_Ours_annotated_classic_U14_derived_classic.txt:,Snow Leopard,5,742,575,1699,20,1808,1322,3527,5,20,1,10,6,30,575,1798,0.004538578,0.008505812,0.43494705,0.509781684
6,Tiger_Amur_n5_annoted_classic_SRR13647652_derived.txt:,Amur Tiger,29,1572,1264,1272,22,1141,2865,2435,29,22,5,3,34,25,1259,1138,0.011867365,0.01026694,0.439441536,0.467351129
17,Tiger_Amur_n5_annoted_classic_SRR13647654_derived.txt:,Amur Tiger,23,1825,1275,1653,18,1421,3123,3092,23,18,4,7,27,25,1270,1414,0.008645533,0.008085382,0.406660263,0.457309185
32,Tiger_Amur_n5_annoted_classic_SRS8209282_derived.txt:,Amur Tiger,9,1884,1311,2774,33,1964,3204,4771,9,33,4,4,13,37,1307,1959,0.004057428,0.007755188,0.407927591,0.410605743
20,Tiger_Amur_n5_annoted_classic_SRS8209284_derived.txt:,Amur Tiger,12,1732,1246,2415,20,2133,2990,4568,12,20,3,3,15,23,1243,2129,0.005016722,0.005035026,0.415719064,0.466068301
28,Tiger_Amur_n5_annoted_classic_SRS8209286_derived.txt:,Amur Tiger,18,1913,1281,2394,26,1825,3212,4245,18,26,3,7,21,33,1278,1818,0.006537983,0.007773852,0.397882939,0.428268551
15,Tiger_Bengal_n5_annoted_classic_SRR13500746_derived.txt:,Bengal Tiger,8,1176,785,2522,19,1880,1969,4421,8,19,3,7,11,26,782,1873,0.005586592,0.005881022,0.397155917,0.423659805
43,Tiger_Bengal_n5_annoted_classic_SRR13500748_derived.txt:,Bengal Tiger,3,874,572,5602,50,3250,1449,8902,3,50,3,8,6,58,569,3244,0.004140787,0.00651539,0.39268461,0.364412492
50,Tiger_Bengal_n5_annoted_classic_SRR13500752_derived.txt:,Bengal Tiger,10,1469,937,3599,28,2210,2416,5837,10,28,6,9,16,37,931,2201,0.006622517,0.006338873,0.385347682,0.377077266
